ROUTE_NO;STOP_NAME;TIMING;LATITUDE;LONGITUDE
1;"PADI SARAVANA STORES";06:15:00;13.101013;80.189666
1;DUNLOP;06:20:00;13.105155;80.152506
1;"AMBATTUR OT";06:25:00;13.119707;80.149838
1;"VANDALUR ";07:30:00;12.879026;80.080709
1;VIT;07:45:00;12.840658;80.153187
1A;THIRUMULLAIVAYAL;06:30:00;13.13078;80.133122
1A;AVADI;06:35:00;13.119727;80.103035
1A;"PATTABIRAM ";06:45:00;13.122571;80.061408
1A;"NEMILICHERY ";06:50:00;12.954299;80.159496
1A;"VANDALUR ";07:30:00;12.879026;80.080709
1A;VIT;07:45:00;12.840658;80.153187
2;AYANAVARAM;06:25:00;13.097558;80.241853
2;"ESI HOSPITAL";06:30:00;13.094133;80.241134
2;"KILPAUK GARDEN";06:40:00;13.082343;80.233699
2;"ANNA NAGAR CHINTHAMANI";06:45:00;13.085094;80.224244
2;"SHANTHI  COLANY";06:55:00;13.084926;80.213364
2;VANDALUR;07:40:00;12.879026;80.080709
2;"VIT ";07:50:00;12.840658;80.153187
2A;MADURAVOYAL;07:10:00;13.06137;80.163032
2A;"PORUR TOLL";07:15:00;13.03469;80.156385
2A;PERUNGALATHUR;07:35:00;12.905615;80.095901
2A;VANDALUR;07:40:00;12.879026;80.080709
2A;VIT;07:50:00;12.840658;80.153187
3;"ANNA NAGAR ROUNDTANA";06:30:00;13.084803;80.21586
3;THIRUMANGALAM;06:35:00;13.087033;80.198703
3;"GOLDEN FLATS";06:40:00;13.088287;80.179336
3;VANDALUR;07:25:00;12.879026;80.080709
3;VIT;07:45:00;12.840658;80.153187
3A;WAVIN;06:40:00;13.088652;80.171573
3A;NOLAMBUR;06:45:00;13.072092;80.167248
3A;"PORUR TOLL PLAZA";06:50:00;13.043935;80.149547
3A;VANDALUR;07:30:00;12.879026;80.080709
3A;VIT;07:45:00;12.840658;80.153187
4;NOLAMBUR;06:30:00;13.072157;80.167219
4;VANAGARAM;06:35:00;13.060401;80.154717
4;VANDALUR;07:30:00;12.879026;80.080709
4;VIT;07:45:00;12.840658;80.153187
4A;"MGR UNIVERSITY";06:40:00;13.065095;80.160784
4A;"MADURAVAYAL TOLL ";06:45:00;13.061368;80.162987
4A;"BYPASS PETROL BUNK";07:00:00;12.886241;80.083176
4A;VANDALUR;07:30:00;12.879026;80.080709
4A;VIT;07:45:00;12.840658;80.153187
5;"PERAMBUR CHURCH";06:10:00;13.108201;80.247622
5;VENUS;06:15:00;13.113705;80.23548
5;"THIRU. VI.KA NAGAR";06:18:00;13.119794;80.232389
5;"VIT UNIVERSITY";07:45:00;12.840658;80.153187
5A;"KOLATHUR POLICE STATION";06:20:00;13.129788;80.214467
5A;"SENTHIL NAGAR";06:25:00;13.12353;80.201536
5A;"PADI BRIDGE";06:35:00;13.102819;80.194566
5A;"VIT ";07:45:00;12.840658;80.153187
6;PURASAIWAKKAM;06:15:00;13.09061;80.251049
6;DASAPRAKASH;06:20:00;13.078719;80.25348
6;"GENGU REDDY SUB WAY";06:23:00;13.076365;80.252103
6;CHETPET;06:25:00;13.070021;80.242074
6;"VALLUVAR KOTTAM";06:35:00;13.053744;80.242161
6;VIT;07:50:00;12.840658;80.153187
6A;"POWER HOUSE";06:43:00;13.048052;80.219259
6A;"SAMIYAR MADAM";06:45:00;13.047229;80.21906
6A;"KASI THEATER";06:55:00;13.029621;80.208997
6A;"GST ROAD";07:10:00;13.077043;80.24
6A;VANDALUR;07:30:00;12.879026;80.080709
6A;VIT;07:50:00;12.840658;80.153187
7;"VIRUGAMPAKKAM AVICHI SCHOOL";06:35:00;13.047535;80.197822
7;VALASARAVAKKAM;06:40:00;13.040998;80.172861
7;VANDALUR;07:30:00;12.879026;80.080709
7;"VIT UNIVERSITY";07:50:00;12.840658;80.153187
